file	head.unitsPerEm	hhea.ascent	hhea.descent	hhea.lineGap	OS/2.sTypoAscender	OS/2.sTypoDescender	OS/2.sTypoLineGap	OS/2.usWinAscent	OS/2.usWinDescent	OS/2.fsSelection	OS/2.sCapHeight	OS/2.sxHeight	OS/2.version	OS/2.fsSelection_decoded	BASE.present	name.family(1)	name.subfamily(2)	name.full(4)	name.postscript(6)	name.version(5)
SourceHanSansTC-Regular	1000	1160	-288	0	880	-120	0	1160	288	00000000 01000000	733	543	3	0x0040 (REGULAR)	True	Source Han Sans TC; 思源黑體	Regular	Source Han Sans TC; 思源黑體	SourceHanSansTC-Regular	Version 2.005;addfeatures 5.0.0b21
SourceHanSerifTC-Regular	1000	1151	-286	0	880	-120	0	1151	286	00000000 01000000	729	514	3	0x0040 (REGULAR)	True	Source Han Serif TC; 思源宋體	Regular	Source Han Serif TC; 思源宋體	SourceHanSerifTC-Regular	Version 2.003;hotconv 1.1.1;makeotfexe 2.6.0
noto-sans-sc-cjk	1000	1160	-288	0	880	-120	0	1160	288	00000000 01000000	733	543	4	0x0040 (REGULAR)	True	Noto Sans SC Thin	Regular	Noto Sans SC Thin Regular	NotoSansSCThin-Regular	Version 2.004-H2;hotconv 1.0.118;makeotfexe 2.5.65603
noto-sans-sc-latin	1000	1160	-288	0	880	-120	0	1160	288	00000000 01000000	733	543	4	0x0040 (REGULAR)	True	Noto Sans SC Thin	Regular	Noto Sans SC Thin Regular	NotoSansSCThin-Regular	Version 2.004-H2;hotconv 1.0.118;makeotfexe 2.5.65603
noto-sans-tc-cjk	1000	1160	-288	0	880	-120	0	1160	288	00000000 01000000	733	543	4	0x0040 (REGULAR)	True	Noto Sans TC Thin	Regular	Noto Sans TC Thin Regular	NotoSansTCThin-Regular	Version 2.004-H2;hotconv 1.0.118;makeotfexe 2.5.65603
noto-sans-tc-latin	1000	1160	-288	0	880	-120	0	1160	288	00000000 01000000	733	543	4	0x0040 (REGULAR)	True	Noto Sans TC Thin	Regular	Noto Sans TC Thin Regular	NotoSansTCThin-Regular	Version 2.004-H2;hotconv 1.0.118;makeotfexe 2.5.65603
noto-serif-sc-cjk	1000	1151	-286	0	880	-120	0	1151	286	00000000 01000000	729	514	4	0x0040 (REGULAR)	True	Noto Serif SC ExtraLight	Regular	Noto Serif SC ExtraLight Regular	NotoSerifSCExtraLight-Regular	Version 2.003-H1;hotconv 1.1.1;makeotfexe 2.6.0
noto-serif-sc-latin	1000	1151	-286	0	880	-120	0	1151	286	00000000 01000000	729	514	4	0x0040 (REGULAR)	True	Noto Serif SC ExtraLight	Regular	Noto Serif SC ExtraLight Regular	NotoSerifSCExtraLight-Regular	Version 2.003-H1;hotconv 1.1.1;makeotfexe 2.6.0
noto-serif-tc-cjk	1000	1151	-286	0	880	-120	0	1151	286	00000000 01000000	729	514	4	0x0040 (REGULAR)	True	Noto Serif TC ExtraLight	Regular	Noto Serif TC ExtraLight Regular	NotoSerifTCExtraLight-Regular	Version 2.003-H1;hotconv 1.1.1;makeotfexe 2.6.0
noto-serif-tc-latin	1000	1151	-286	0	880	-120	0	1151	286	00000000 01000000	729	514	4	0x0040 (REGULAR)	True	Noto Serif TC ExtraLight	Regular	Noto Serif TC ExtraLight Regular	NotoSerifTCExtraLight-Regular	Version 2.003-H1;hotconv 1.1.1;makeotfexe 2.6.0
